Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
consumidor broker 1884,680,1015,1002,3093,1018,93.92,0.00%,.5,0.08,160.0
TOTAL,680,1015,1002,3093,1018,93.92,0.00%,.5,0.08,160.0
