sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
productor PUERTO 1882,7000,75,9,89,435,1336,1,1513,0.00%,1.9,.5,233.06
TOTAL,7000,75,9,89,435,1336,1,1513,0.00%,1.9,.5,233.06
