sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
productor PUERTO 1882,278237,6,3,12,19,38,1,1734,0.00%,124.4,33.4,14.99
TOTAL,278237,6,3,12,19,38,1,1734,0.00%,124.4,33.4,14.99
