Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
productor PUERTO 1882,278237,6,1,1734,12,14.99,0.00%,124.4,33.37,274.6
TOTAL,278237,6,1,1734,12,14.99,0.00%,124.4,33.37,274.6
