Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
productor PUERTO 1882,3278,8,2,746,15,14.68,0.00%,.9,5.85,6575.0
TOTAL,3278,8,2,746,15,14.68,0.00%,.9,5.85,6575.0
